epic_name,pl_orbper,pl_ratror,st_rad
EPIC 211923431,29.729,2.5878,
EPIC 211924657,2.645,4.8634,
EPIC 211929937,3.477,13.3945,
EPIC 211941472,5.78,1.0064,
EPIC 211945201,19.491,3.7166,
EPIC 211965883,10.555,3.5337,
EPIC 211969807,1.974,3.6401,
EPIC 211990866,1.674,2.4261,
EPIC 211993818,8.986,22.0558,
EPIC 211995325,0.279258,0.1243,0.62
EPIC 211995398,32.576,19.5795,
EPIC 212006318,14.443,1.5651,
EPIC 212006344,2.219,1.9484,
EPIC 212008766,14.129,2.9218,
EPIC 212009427,0.778,7.3676,
EPIC 212012119,8.438,2.9,
EPIC 212012119,3.281,2.78,
EPIC 212066407,0.822,2.0904,
EPIC 212069861,30.953,4.0566,
EPIC 212088059,10.366,3.5211,
EPIC 212099230,7.112,2.418,
EPIC 212110888,2.996,7.8978,
EPIC 212130773,18.711,3.6132,
EPIC 212132195,26.198,2.9347,
EPIC 212136123,2.226,2.6003,
EPIC 212138198,3.209,4.4905,
EPIC 212141021,2.918,1.5674,
EPIC 212150006,0.898216,0.0449,0.82
EPIC 212150006,0.898,4.3334,
EPIC 212152341,6.676,19.8555,
EPIC 212154564,6.414,6.8141,
EPIC 212157262,7.15,3.2683,
EPIC 212161956,7.187,3.4576,
EPIC 212164470,7.809,2.0497,
EPIC 212270970,1.717,0.9286,
EPIC 212278644,12.426,2.077,
EPIC 212297394,5.213,2.6618,
EPIC 212300977,4.466,12.4977,
EPIC 212301649,1.225,1.4962,
EPIC 212310244,6.669,1.4607,
EPIC 212321305,34.144,5.3257,
EPIC 212330265,4.174,3.1828,
EPIC 212351026,2.548,4.9828,
EPIC 212351405,2.549,4.4285,
EPIC 212357477,6.327,1.7952,
EPIC 212370106,22.446,3.9319,
EPIC 212380207,26.147,2.3842,
EPIC 212393193,14.452,1.82,
EPIC 212393193,36.152,1.83,
EPIC 212394689,6.679,2.5593,
EPIC 212398508,46.423,2.6102,
EPIC 212418133,3.333,1.6372,
EPIC 212420823,9.029,2.6107,
EPIC 212424622,12.012,1.7745,
EPIC 212425103,0.946,1.7346,
EPIC 212432685,1.063,1.5188,
EPIC 212435047,1.115,1.2269,
EPIC 212440430,19.991,2.3276,
EPIC 212443973,0.779,1.9207,
EPIC 212451091,12.666,4.3318,
EPIC 212454160,0.876,1.2103,
EPIC 212454422,3.269,11.1682,
EPIC 212460519,7.387,2.9294,
EPIC 212480208,10.099,1.3385,
EPIC 212495601,21.677,2.4596,
EPIC 212496592,2.858,1.6582,
EPIC 212499835,6.883,6.6463,
EPIC 212499991,15.381,2.3288,
EPIC 212521166,13.864,3.3865,
EPIC 212529560,8.121,2.014,
EPIC 212534729,13.479,1.4904,
EPIC 212543933,7.806,2.1838,
EPIC 212554013,3.588,11.2466,
EPIC 212555594,4.163,1.5661,
EPIC 212562715,13.524,2.3085,
EPIC 212563850,14.311,2.6248,
EPIC 212570977,8.853,15.5895,
EPIC 212572439,2.581,6.3185,
EPIC 212572452,2.581,17.404,
EPIC 212575828,2.06,3.6658,
EPIC 212577658,14.069,1.738,
EPIC 212579424,6.373,13.3861,
EPIC 212580872,14.786,3.6518,
EPIC 212586030,7.785,2.3269,
EPIC 212587672,23.226,2.1656,
EPIC 212592101,4.545,7.9711,
EPIC 212639319,13.843,2.7945,
EPIC 212645891,0.984,4.0344,
EPIC 212646483,8.253,2.9071,
EPIC 212661144,2.459,2.7192,
EPIC 212672300,39.699,2.4786,
EPIC 212679181,1.055,2.1401,
EPIC 212688920,62.841,23.1222,
EPIC 212689874,15.854,3.0041,
EPIC 212697709,3.952,7.8771,
EPIC 212703473,18.516,1.73,
EPIC 212703473,6.788,1.4299,
EPIC 212705192,2.268,6.8064,
EPIC 212712473,7.264,5.6852,
EPIC 212735333,8.358,2.2698,
EPIC 212737443,13.603,3.481,
EPIC 212756297,1.337,17.6536,
EPIC 212757601,1.018,9.8964,
EPIC 212768333,3.359,1.33,
EPIC 212768333,17.043,4.1673,
EPIC 212768333,7.45,2.61,
EPIC 212772113,8.953,3.4324,
EPIC 212779596,7.374,3.7832,
EPIC 212779596,3.225,2.41,
EPIC 212782836,7.125,1.2382,
EPIC 212796016,3.216,1.754,
EPIC 212803289,18.25,4.2143,
EPIC 212813907,6.725,4.9246,
EPIC 212828909,2.85,1.5815,
