201190802,11 31 30.344,-04 19 07.86,1,18.048,,,,11313034-0419078,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.906,0.077,15.428,0.098,15.081,0.146,3801,4.95,-0.248,0.299,0.334,10.21,466.5,0.029
201191083,11 24 41.799,-04 18 44.87,1,18.371,,,,11244179-0418448,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.706,0.085,14.88,0.091,14.593,0.099,3982,4.865,-0.213,0.385,0.434,6.402,583.9,0.032
201192001,11 40 01.016,-04 17 23.88,1,18.515,,,,11400101-0417238,5976-301-1-0157-0340,STAR,gri,-62,5,-31,5,,,,,,,22.435,0.175,19.823,0.014,18.522,0.008,17.954,0.008,17.574,0.013,16.537,0.116,15.845,0.119,15.433,0.186,3949,5.068,-0.718,0.233,0.236,17.69,518.8,0.027
201192442,11 31 29.492,-04 16 46.03,1,19.276,,,,,5973-301-6-0039-0262,STAR,gri,-5,3,-4,3,,,,,,,20.633,0.067,19.585,0.013,19.266,0.013,19.144,0.015,19.098,0.042,,,,,,,,,,,,,,
201193041,11 48 17.475,-04 15 55.29,1,18.001,,,,11481747-0415552,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.466,0.094,15.756,0.105,15.272,0.154,3719,4.98,-0.22,0.276,0.297,11.92,546.2,0.03
201193257,11 18 11.425,-04 15 37.52,1,18.356,,,,11181142-0415375,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.815,0.067,15.096,0.083,14.827,0.114,3931,4.902,-0.213,0.362,0.415,7.101,576.6,0.032
201193441,11 41 31.389,-04 15 20.67,1,18.015,,,,,5973-301-1-0048-0002,STAR,gri,5,3,-3,3,,,,,,,18.136,0.013,18.122,0.006,17.98,0.007,18.003,0.008,18.081,0.019,,,,,,,,,,,,,,
201193547,11 23 51.419,-04 15 11.67,1,18.261,,,,11235141-0415116,,EXTENDED,JHK,,,,,,,,,,,,,,,,,,,,,15.367,0.122,14.552,0.157,14.183,0.12,,,,,,,,
201193591,11 35 42.456,-04 15 09.15,1,18.077,,,,11354245-0415091,5973-301-4-0043-0177,STAR,gri,-13,3,-79,3,,,,,,,22.188,0.191,20.107,0.017,18.673,0.009,17.207,0.006,16.391,0.008,14.967,0.033,14.41,0.041,13.975,0.045,3495,5.053,-0.01,0.229,0.217,17.93,208.1,0.023
201194350,11 48 13.821,-04 14 02.93,1,18.26,,,,11481382-0414029,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.699,0.121,16.173,0.135,,,,,,,,,,
201194428,11 17 57.411,-04 13 55.90,1,18.09,,,,11175741-0413558,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.602,0.056,15.035,0.093,14.656,0.087,3668,4.976,-0.173,0.288,0.281,11.32,367.1,0.029
201195015,11 20 01.168,-04 13 05.12,1,18.614,,,,11200116-0413051,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,16.264,0.089,15.579,0.111,15.374,0.183,3909,4.927,-0.27,0.353,0.378,7.859,664.3,0.03
201195700,11 40 23.676,-04 12 10.12,1,19.289,,,,11402367-0412101,5976-301-1-0158-0493,STAR,gri,,,,,,,,,,,24.289,0.558,21.408,0.04,19.873,0.016,18.381,0.009,17.597,0.013,16.071,0.076,15.676,0.109,,,,,,,,,,
201195759,11 24 54.421,-04 12 06.19,1,18.249,,,429-052948,11245439-0412053,,STAR,JHK,-45.6,19.3,-63.9,19.4,,,,,,,,,,,,,,,,,15.83,0.058,15.229,0.065,14.915,0.107,3501,5.085,-0.198,0.192,0.179,21.72,270.6,0.028
201195905,11 43 58.947,-04 11 53.61,1,18.452,,,,11435894-0411536,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.523,0.084,14.724,0.112,14.329,0.104,3871,4.917,-0.198,0.359,0.385,7.271,496,0.029
201196226,11 42 51.494,-04 11 27.61,1,18.166,,,,11425149-0411276,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.615,0.118,,,,,,,,,,,,
201196456,11 38 52.061,-04 11 08.79,1,18.021,,,,11385206-0411087,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.506,0.11,15.011,0.173,14.544,0.137,3869,4.898,-0.248,0.354,0.399,7.729,475.9,0.029
201197205,11 32 54.911,-04 10 04.28,1,18.494,,,,11325491-0410042,5976-301-5-0152-0328,STAR,gri,-32,4,18,4,,,,,,,23.412,0.318,20.594,0.021,19.092,0.011,17.594,0.007,16.791,0.009,15.27,0.046,14.762,0.07,14.5,0.094,3453,5.085,-0.091,0.204,0.191,20.98,210.7,0.03
201197421,11 27 49.047,-04 09 45.10,1,18,,,,11274904-0409451,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.778,0.076,15.118,0.099,14.929,0.131,3971,4.873,-0.248,0.367,0.404,6.521,604,0.029
201197637,11 39 05.182,-04 09 26.81,1,19.034,,,,,5976-301-2-0157-0255,STAR,gri,5,3,4,3,,,,,,,19.387,0.025,19.117,0.01,19.006,0.011,18.834,0.011,18.753,0.027,,,,,,,,,,,,,,
201197767,11 31 40.543,-04 09 17.20,1,18.097,,,,,5973-301-6-0040-0073,STAR,gri,-4,3,3,3,,,,,,,18.242,0.015,18.143,0.006,18.082,0.007,18.137,0.008,17.686,0.016,,,,,,,,,,,,,,
201202432,11 29 35.895,-04 02 48.75,1,18.102,,,,11293589-0402487,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.558,0.142,15.91,0.196,,,,,,,,,,
201203179,11 44 07.163,-04 01 45.69,1,18.034,,,,11440716-0401456,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.496,0.109,15.858,0.125,15.235,0.174,3671,5.013,-0.213,0.269,0.27,13.16,534,0.03
201203534,11 32 55.681,-04 01 17.91,1,18.884,,,,,5976-301-5-0153-0255,EXTENDED,gri,1,2,-5,2,,,,,,,20.334,0.057,19.157,0.013,18.837,0.012,18.767,0.016,18.707,0.048,,,,,,,,,,,,,,
201204261,11 32 53.670,-04 00 16.05,1,18.073,,,,11325367-0400160,5976-301-5-0153-0253,STAR,gri,,,,,,,,,,,22.993,0.245,20.197,0.017,18.712,0.009,17.163,0.006,16.348,0.008,14.866,0.036,14.22,0.047,14.055,0.058,3089,5.174,0.079,0.156,0.133,34.69,112.2,0.014
201204782,11 33 03.715,-03 59 28.75,1,18.082,,,,11330371-0359287,5976-301-5-0153-0059,STAR,gri,9,4,-54,4,,,,,,,22.652,0.19,20.104,0.016,18.717,0.009,17.216,0.006,16.411,0.008,14.976,0.041,14.407,0.047,14.064,0.062,3662,5.003,-0.076,0.278,0.291,12.85,274,0.029
201204860,11 33 40.551,-03 59 21.47,1,18.366,,,,11334055-0359214,5976-301-5-0154-0305,STAR,gri,26,5,-22,5,,,,,,,23.122,0.259,20.427,0.019,18.963,0.01,17.482,0.007,16.689,0.009,15.237,0.041,14.599,0.061,14.571,0.096,3602,5.049,-0.161,0.234,0.231,16.85,254.3,0.032
201205648,11 35 37.201,-03 58 17.85,1,18.312,,,,11353720-0358178,5976-301-4-0156-0107,STAR,gri,-53,3,-6,3,,,,,,,22.467,0.224,19.8,0.013,18.461,0.008,17.675,0.007,17.229,0.012,15.911,0.076,15.408,0.091,15.093,0.158,3711,4.969,-0.066,0.312,0.33,10.99,480.8,0.021
201206091,11 36 44.150,-03 57 39.52,1,18.8,,,,11364414-0357395,5973-301-4-0045-0248,STAR,gri,,,,,,,,,,,23.194,0.417,20.481,0.022,18.995,0.011,18.08,0.008,17.554,0.015,16.334,0.12,15.677,0.128,15.527,0.206,3525,5.069,-0.135,0.219,0.209,18.96,388.7,0.034
201206360,11 40 26.031,-03 57 14.69,1,18.016,,,,11402603-0357146,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.48,0.135,15.527,0.114,15.222,0.196,3930,4.902,-0.263,0.34,0.383,8.698,741.9,0.033
201207010,11 23 22.276,-03 56 18.61,1,18.11,,,,11232227-0356186,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.565,0.119,15.864,0.145,15.209,0.161,3658,5.005,-0.213,0.269,0.268,13.16,565,0.03
201207315,11 31 03.945,-03 55 55.15,1,18.147,,,,11310394-0355551,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.598,0.142,15.996,0.191,15.293,0.178,3685,5.005,-0.213,0.256,0.281,11.92,611.4,0.03
