EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
201526193,11 22 54.191,+00 55 38.97,1,9.199,,264-103-1,455-051437,11225418+0055388,,STAR,gri,rpm,-40.6,1.1,15.2,1.1,,,9.808,0.032,9.334,0.027,,,9.593,0.18,9.207,0.18,9.031,0.07,,,8.226,0.03,7.986,0.042,7.949,0.042,,,,,,,,,6233,299,187,4.034,0.235,0.235,-0.037,0.15,0.21,1.734,0.791,0.543,1.318,0.216,0.216,0.225,0.321,0.132,150.5,58.68,42.22,0.023,0.013,0.008,,,
201528051,11 27 34.017,+00 57 22.15,1,6.995,55907,264-221-1,455-051557,11273402+0057220,,STAR,BV,plx,2.05,0.89,-94.48,0.55,7,0.69,8.163,0.018,7.166,0.012,,,,,,,,,,,5.433,0.021,,,4.768,0.017,,,,,,,,,4877,57,96,2.812,0.09,0.378,-0.111,0.12,0.54,8.89,1.219,0.612,1.945,0.22,1.026,0.003,7.79E-04,0.002,142.9,14.08,14.08,0.023,0.011,0.009,,,
201531324,11 50 26.891,+01 00 24.49,1,9.283,,273-669-1,456-051177,11502688+0100245,,STAR,gri,rav,-3.7,1,-5,1.1,,,10.519,0.058,9.545,0.033,,,9.955,0.07,9.273,0.07,8.996,0.07,,,7.869,0.026,7.352,0.029,7.239,0.027,,,,,,,,,4879,78,78,3.032,0.162,0.135,-0.335,0.15,0.15,5.125,1.008,0.994,1.095,0.152,0.109,0.008,0.006,0.003,280.4,51.32,43.38,0.028,0.014,0.01,,,
201531949,11 19 56.065,+01 00 58.50,1,9.573,,263-612-1,456-050467,11195605+0100584,,STAR,gri,apo,40.6,1.3,-25.7,1.3,,,10.862,0.069,9.848,0.038,,,10.3,0.08,9.518,0.05,9.262,0.07,,,8.089,0.029,7.602,0.027,7.488,0.029,,,,,,,,,4824,77,77,3.166,0.15,0.18,-0.025,0.1,0.12,4.883,1.416,0.812,1.326,0.351,0.146,0.01,0.007,0.005,299.9,91.09,54.09,0.029,0.013,0.011,,,
201532783,11 27 40.481,+01 01 42.51,1,9.936,,264-599-1,456-050639,11274048+0101425,,STAR,gri,rpm,-46.2,1.4,0,1.5,,,10.776,0.073,10.047,0.051,,,10.358,0.01,10.012,0.12,9.755,0.01,,,8.934,0.026,8.62,0.031,8.603,0.024,,,,,,,,,5985,177,177,4.196,0.23,0.276,-0.064,0.15,0.24,1.36,0.509,0.37,1.11,0.147,0.123,0.393,0.487,0.244,159,65.61,46.45,0.024,0.013,0.01,,,
201534540,11 26 36.281,+01 03 18.84,1,8.197,,264-546-1,456-050615,11263627+0103188,,STAR,BV,rpm,-42.4,1.1,-17.1,1.1,,,8.385,0.018,8.163,0.015,,,,,,,,,,,7.691,0.021,7.522,0.044,7.488,0.023,,,,,,,,,6623,469,335,4.05,0.17,0.238,0.001,0.12,0.12,1.843,0.734,0.393,1.487,0.226,0.188,0.222,0.206,0.133,136.7,54.44,29.11,0.021,0.013,0.008,,,
201537563,11 25 43.006,+01 06 01.20,1,9.198,,264-471-1,456-050589,11254300+0106013,,STAR,gri,rpm,-1.3,0.9,-20.7,1,,,9.694,0.028,9.247,0.024,,,9.704,0.03,9.377,0.04,8.982,0.03,,,8.262,0.027,8.037,0.049,7.982,0.02,,,,,,,,,5677,406,101,2.566,1.756,0.02,-1.058,0.99,0.45,8.074,0.161,6.915,0.878,0.404,0.018,0.002,0.691,9.97E-05,580.8,17.43,473.3,0.016,0.017,0.002,,,
201543478,11 35 45.330,+01 11 24.36,1,9.468,,271-942-1,456-050834,11354532+0111243,,STAR,gri,rpm,-17.5,1.3,-1,1.3,,,10.829,0.067,9.655,0.031,,,10.319,0.03,9.317,0.04,9.103,0.06,,,7.757,0.019,7.231,0.038,7.106,0.027,,,,,,,,,4610,91,55,2.458,0.126,0.09,0.028,0.1,0.14,11.543,0.797,1.03,1.396,0.244,0.203,8.71E-04,3.91E-04,2.03E-04,554,37.98,35.54,0.03,0.014,0.012,,,
201551874,11 10 59.949,+01 18 56.90,1,9.89,,263-257-1,457-048511,11105994+0118569,,STAR,gri,rav,-17.2,1.6,-9.1,1.7,,,11.789,0.164,10.508,0.06,,,11.118,0.03,9.825,0.04,9.364,0.16,,,7.755,0.02,7.002,0.029,6.805,0.015,,,,,,,,,3912,94,78,0.542,0.125,0.125,-0.824,0.15,0.12,80.76,12.393,10.744,0.905,0.018,0.018,1.51E-06,8.27E-07,5.34E-07,2900,361.3,321.3,0.03,0.015,0.011,,,
201553491,11 32 36.395,+01 20 24.77,1,8.452,56307,271-430-1,457-049073,11323639+0120248,,STAR,BV,plx,-79.73,0.96,-41.93,0.68,7.78,0.98,8.996,0.021,8.515,0.016,,,,,,,,,,,7.574,0.018,7.361,0.031,7.303,0.024,,,,,,,,,6401,271,232,4.006,0.11,0.11,0.009,0.12,0.15,1.867,0.306,0.222,1.406,0.118,0.118,0.183,0.098,0.055,128.5,16.19,16.19,0.021,0.013,0.008,,,
